iter	Passed	Remaining
0	0	753
1	1	807
2	2	770
3	3	757
4	3	753
5	4	761
6	5	763
7	5	739
8	6	701
9	7	696
10	7	692
11	8	688
12	9	689
13	9	685
14	11	734
15	12	755
16	12	747
17	13	739
18	14	732
19	14	720
20	15	718
21	16	717
22	16	712
23	17	707
24	17	695
25	18	693
26	19	688
27	19	685
28	20	682
29	21	679
30	21	675
31	22	678
32	23	675
33	23	672
34	24	668
35	25	675
36	25	672
37	27	688
38	27	689
39	29	699
40	29	697
41	30	695
42	31	693
43	32	704
44	32	700
45	33	691
46	33	689
47	34	690
48	35	693
49	37	705
50	37	702
51	38	696
52	38	695
53	39	692
54	40	690
55	40	688
56	41	685
57	42	683
58	42	682
59	43	680
60	44	681
61	45	690
62	46	688
63	46	685
64	47	684
65	48	692
66	49	692
67	50	691
68	51	688
69	51	685
70	52	682
71	52	680
72	53	677
73	53	675
74	54	670
75	55	669
76	55	668
77	56	666
78	57	664
79	57	662
80	58	661
81	58	659
82	59	653
83	59	650
84	60	648
85	60	646
86	61	642
87	61	636
88	62	636
89	63	643
90	64	642
91	64	638
92	65	636
93	65	634
94	67	639
95	67	637
96	68	635
97	68	633
98	69	632
99	70	631
100	70	629
101	71	627
102	71	625
103	72	623
104	72	622
105	73	621
106	74	621
107	75	626
108	76	625
109	77	623
110	77	621
111	78	618
112	78	616
113	79	615
114	79	614
115	80	612
116	80	610
117	82	616
118	83	615
119	83	613
120	84	612
121	84	610
122	85	609
123	86	607
124	86	605
125	87	604
126	87	602
127	88	600
128	88	600
129	89	599
130	90	597
131	90	596
132	91	596
133	91	594
134	92	593
135	93	592
136	93	590
137	94	589
138	94	587
139	95	586
140	96	585
141	96	584
142	97	582
143	97	581
144	98	580
145	98	579
146	100	582
147	100	579
148	101	578
149	102	578
150	102	578
151	103	577
152	104	575
153	104	574
154	105	572
155	105	571
156	106	570
157	106	568
158	107	566
159	107	566
160	108	565
161	109	564
162	110	568
163	111	566
164	111	566
165	112	565
166	112	563
167	113	561
168	114	560
169	114	559
170	115	558
171	115	557
172	116	556
173	117	559
174	118	557
175	119	560
176	120	559
177	120	558
178	121	557
179	122	558
180	123	558
181	124	557
182	124	557
183	125	557
184	126	556
185	126	555
186	127	554
187	128	553
188	128	552
189	129	551
190	130	552
191	131	552
192	131	551
193	133	552
194	133	551
195	134	550
196	134	549
197	135	547
198	135	546
199	136	545
200	137	545
201	137	543
202	138	545
203	139	543
204	139	542
205	140	541
206	141	540
207	141	540
208	142	539
209	143	538
210	143	537
211	145	539
212	145	537
213	146	536
214	146	535
215	147	534
216	148	535
217	148	533
218	149	532
219	149	531
220	150	530
221	150	529
222	151	527
223	151	526
224	152	525
225	153	526
226	154	526
227	155	525
228	155	524
229	156	523
230	156	521
231	157	520
232	158	522
233	159	520
234	159	519
235	160	518
236	160	516
237	161	515
238	161	514
239	162	516
240	163	515
241	164	514
242	164	513
243	165	512
244	165	511
245	166	510
246	167	510
247	168	511
248	169	509
249	169	508
250	170	507
251	170	506
252	171	505
253	171	503
254	172	502
255	172	501
256	173	500
257	173	499
258	174	498
259	174	497
260	175	498
261	177	498
262	178	500
263	179	499
264	179	499
265	180	498
266	181	497
267	181	495
268	181	494
269	182	493
270	182	492
271	183	490
272	183	489
273	185	490
274	185	488
275	185	487
276	186	486
277	186	485
278	187	483
279	187	482
280	188	481
281	188	480
282	189	479
283	189	478
284	190	477
285	190	476
286	191	475
287	191	474
288	192	473
289	194	476
290	195	475
291	195	474
292	196	473
293	196	471
294	197	471
295	197	470
296	198	470
297	200	471
298	200	470
299	201	469
300	201	468
301	202	467
302	202	466
303	203	466
304	204	465
305	205	464
306	205	463
307	206	463
308	206	462
309	207	461
310	208	460
311	208	459
312	209	458
313	210	459
314	210	458
315	211	457
316	211	456
317	212	455
318	212	454
319	213	453
320	214	452
321	214	451
322	215	451
323	215	450
324	216	449
325	216	448
326	217	447
327	217	446
328	218	446
329	219	445
330	220	444
331	220	444
332	221	443
333	221	442
334	222	441
335	222	440
336	223	440
337	224	439
338	225	438
339	225	437
340	225	436
341	226	436
342	227	435
343	227	434
344	228	433
345	228	432
346	229	431
347	230	431
348	230	430
349	231	429
350	231	427
351	231	426
352	232	426
353	233	425
354	233	424
355	234	423
356	234	422
357	235	422
358	235	421
359	236	420
360	236	419
361	237	418
362	238	417
363	238	416
364	239	416
365	240	416
366	240	415
367	241	414
368	242	414
369	242	413
370	244	413
371	244	413
372	245	412
373	245	411
374	246	410
375	246	409
376	247	408
377	247	407
378	248	406
379	248	405
380	249	405
381	250	404
382	250	403
383	251	402
384	251	401
385	252	400
386	252	399
387	252	398
388	253	398
389	253	397
390	254	396
391	254	395
392	255	394
393	255	393
394	256	392
395	256	391
396	257	390
397	257	389
398	259	390
399	259	389
400	259	388
401	260	387
402	260	386
403	261	385
404	261	384
405	262	383
406	262	382
407	263	381
408	263	381
409	264	380
410	264	379
411	265	379
412	266	378
413	266	377
414	267	376
415	267	375
416	268	375
417	268	374
418	269	373
419	269	372
420	270	371
421	270	370
422	270	369
423	271	368
424	271	367
425	272	367
426	272	366
427	273	365
428	273	364
429	274	363
430	274	362
431	275	361
432	275	360
433	276	360
434	276	359
435	276	358
436	277	357
437	277	356
438	278	355
439	278	354
440	279	354
441	279	353
442	280	352
443	280	351
444	281	350
445	281	349
446	281	348
447	282	348
448	282	347
449	283	346
450	283	345
451	284	344
452	284	343
453	285	343
454	285	342
455	286	341
456	286	340
457	286	339
458	287	338
459	288	338
460	288	337
461	289	336
462	289	336
463	290	335
464	290	334
465	291	333
466	291	332
467	291	331
468	292	331
469	292	330
470	293	329
471	293	328
472	294	327
473	294	326
474	295	326
475	296	326
476	296	325
477	297	324
478	297	323
479	298	322
480	298	322
481	299	321
482	299	320
483	299	319
484	300	318
485	300	318
486	301	317
487	301	316
488	302	315
489	302	315
490	303	314
491	304	314
492	305	314
493	305	313
494	306	312
495	306	311
496	307	310
497	307	309
498	307	309
499	308	308
500	308	307
501	309	306
502	309	306
503	310	305
504	310	304
505	311	303
506	312	303
507	312	302
508	313	302
509	313	301
510	314	300
511	314	299
512	315	299
513	315	298
514	315	297
515	316	296
516	316	296
517	317	295
518	318	294
519	318	294
520	318	293
521	319	292
522	320	291
523	320	291
524	320	290
525	321	289
526	321	288
527	322	288
528	322	287
529	323	286
530	323	285
531	324	285
532	324	284
533	325	284
534	326	283
535	327	283
536	328	283
537	328	282
538	329	281
539	329	280
540	330	280
541	330	279
542	330	278
543	331	277
544	331	276
545	332	276
546	333	275
547	333	275
548	333	274
549	334	274
550	335	273
551	335	272
552	336	271
553	336	271
554	337	270
555	337	269
556	338	268
557	338	268
558	338	267
559	339	266
560	339	265
561	340	265
562	340	264
563	341	263
564	341	263
565	342	262
566	342	261
567	343	261
568	343	260
569	344	259
570	344	258
571	345	258
572	345	257
573	345	256
574	347	256
575	348	256
576	348	255
577	349	254
578	349	254
579	350	253
580	350	252
581	351	252
582	352	251
583	352	251
584	353	250
585	353	249
586	354	249
587	354	248
588	355	247
589	355	247
590	355	246
591	356	245
592	356	244
593	357	244
594	357	243
595	358	242
596	358	242
597	359	241
598	359	240
599	360	240
600	360	239
601	361	238
602	361	238
603	361	237
604	362	236
605	363	236
606	364	236
607	365	235
608	365	234
609	367	234
610	367	234
611	368	233
612	368	232
613	368	231
614	369	231
615	369	230
616	370	229
617	370	229
618	371	228
619	371	227
620	371	226
621	372	226
622	372	225
623	373	225
624	373	224
625	374	223
626	374	223
627	375	222
628	375	221
629	376	221
630	376	220
631	377	219
632	377	219
633	378	218
634	378	217
635	379	216
636	379	216
637	380	215
638	380	215
639	381	214
640	381	213
641	381	212
642	382	212
643	382	211
644	383	210
645	383	210
646	384	209
647	384	208
